set,index,k,QQ,xB,t,phi,F,errF,varF,ReH,ReE,ReHt,ReEt,ImH,ImE,ImHt,ImEt,dvcs,F_true
47,17,8.847,5.34,0.483,-0.44561,262.5,0.00244278,0.000222171,0.09095,-1.98356,1.61938,0.732369,36.5912,1.75631,0,0.989898,0,0.000742782,0.00263144
47,18,8.847,5.34,0.483,-0.44561,277.5,0.00292183,0.000291336,0.09971,-1.98356,1.61938,0.732369,36.5912,1.75631,0,0.989898,0,0.000742782,0.00286182
47,19,8.847,5.34,0.483,-0.44561,292.5,0.00312062,0.000259947,0.0833,-1.98356,1.61938,0.732369,36.5912,1.75631,0,0.989898,0,0.000742782,0.00313198
47,20,8.847,5.34,0.483,-0.44561,307.5,0.00381291,0.000322496,0.08458,-1.98356,1.61938,0.732369,36.5912,1.75631,0,0.989898,0,0.000742782,0.00342678
47,21,8.847,5.34,0.483,-0.44561,322.5,0.00361425,0.000300706,0.0832,-1.98356,1.61938,0.732369,36.5912,1.75631,0,0.989898,0,0.000742782,0.00371587
47,22,8.847,5.34,0.483,-0.44561,337.5,0.00408918,0.000360216,0.08809,-1.98356,1.61938,0.732369,36.5912,1.75631,0,0.989898,0,0.000742782,0.00395365
47,23,8.847,5.34,0.483,-0.44561,352.5,0.00432205,0.000412324,0.0954,-1.98356,1.61938,0.732369,36.5912,1.75631,0,0.989898,0,0.000742782,0.00408974
48,0,8.847,5.36,0.485,-0.50851,7.5,0.00375556,0.000580121,0.15447,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00370369
48,1,8.847,5.36,0.485,-0.50851,22.5,0.005114,0.000797887,0.15602,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00353305
48,2,8.847,5.36,0.485,-0.50851,37.5,0.00291011,0.000319501,0.10979,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00324722
48,3,8.847,5.36,0.485,-0.50851,52.5,0.00278231,0.000282794,0.10164,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.0029195
48,4,8.847,5.36,0.485,-0.50851,67.5,0.00273261,0.000271348,0.0993,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00260604
48,5,8.847,5.36,0.485,-0.50851,82.5,0.00221402,0.000247041,0.11158,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00233589
48,6,8.847,5.36,0.485,-0.50851,97.5,0.00217333,0.000221593,0.10196,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00211763
48,7,8.847,5.36,0.485,-0.50851,112.5,0.0021173,0.000223672,0.10564,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00194914
48,8,8.847,5.36,0.485,-0.50851,127.5,0.00159862,0.000198852,0.12439,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00182438
48,9,8.847,5.36,0.485,-0.50851,142.5,0.00141739,0.000162929,0.11495,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00173694
48,10,8.847,5.36,0.485,-0.50851,157.5,0.00127747,0.000136293,0.10669,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00168161
48,11,8.847,5.36,0.485,-0.50851,172.5,0.00154095,0.000176392,0.11447,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00165483
48,12,8.847,5.36,0.485,-0.50851,187.5,0.00107643,0.000121959,0.1133,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00165483
48,13,8.847,5.36,0.485,-0.50851,202.5,0.00163182,0.000179794,0.11018,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00168161
48,14,8.847,5.36,0.485,-0.50851,217.5,0.00155526,0.000201904,0.12982,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00173694
48,15,8.847,5.36,0.485,-0.50851,232.5,0.00176293,0.000208784,0.11843,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00182438
48,16,8.847,5.36,0.485,-0.50851,247.5,0.00197871,0.000227967,0.11521,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00194914
48,17,8.847,5.36,0.485,-0.50851,262.5,0.00220648,0.000215706,0.09776,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00211763
48,18,8.847,5.36,0.485,-0.50851,277.5,0.00217902,0.000225463,0.10347,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00233589
48,19,8.847,5.36,0.485,-0.50851,292.5,0.00236652,0.000216347,0.09142,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00260604
48,20,8.847,5.36,0.485,-0.50851,307.5,0.00299738,0.000290836,0.09703,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.0029195
48,21,8.847,5.36,0.485,-0.50851,322.5,0.00294136,0.000331933,0.11285,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00324722
48,22,8.847,5.36,0.485,-0.50851,337.5,0.0031046,0.000438649,0.14129,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00353305
48,23,8.847,5.36,0.485,-0.50851,352.5,0.00401545,0.000630306,0.15697,-1.92532,1.51702,0.643492,31.814,1.62313,0,0.947557,0,0.000674952,0.00370369
49,0,8.847,5.37,0.486,-0.56958,7.5,0.00253057,0.000837416,0.33092,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00336594
49,1,8.847,5.37,0.486,-0.56958,22.5,0.00260412,0.000799646,0.30707,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00316995
49,2,8.847,5.37,0.486,-0.56958,37.5,0.00296108,0.000481354,0.16256,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00285479
49,3,8.847,5.37,0.486,-0.56958,52.5,0.00242235,0.000305265,0.12602,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00251254
49,4,8.847,5.37,0.486,-0.56958,67.5,0.00239159,0.000284097,0.11879,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00220308
49,5,8.847,5.37,0.486,-0.56958,82.5,0.0019467,0.000223248,0.11468,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00194961
49,6,8.847,5.37,0.486,-0.56958,97.5,0.00175435,0.000212873,0.12134,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00175339
49,7,8.847,5.37,0.486,-0.56958,112.5,0.00145327,0.000199984,0.13761,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00160699
49,8,8.847,5.37,0.486,-0.56958,127.5,0.00136963,0.000137743,0.10057,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00150139
49,9,8.847,5.37,0.486,-0.56958,142.5,0.00143724,0.000175918,0.1224,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00142878
49,10,8.847,5.37,0.486,-0.56958,157.5,0.0014013,0.000167259,0.11936,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00138343
49,11,8.847,5.37,0.486,-0.56958,172.5,0.00143752,0.000175434,0.12204,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00136165
49,12,8.847,5.37,0.486,-0.56958,187.5,0.00127101,0.000195787,0.15404,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00136165
49,13,8.847,5.37,0.486,-0.56958,202.5,0.00115142,0.000174233,0.15132,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00138343
49,14,8.847,5.37,0.486,-0.56958,217.5,0.00162625,0.000200696,0.12341,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00142878
49,15,8.847,5.37,0.486,-0.56958,232.5,0.0016743,0.00020758,0.12398,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00150139
49,16,8.847,5.37,0.486,-0.56958,247.5,0.00138127,0.000181292,0.13125,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00160699
49,17,8.847,5.37,0.486,-0.56958,262.5,0.00165859,0.000192877,0.11629,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00175339
49,18,8.847,5.37,0.486,-0.56958,277.5,0.00177639,0.000221444,0.12466,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00194961
49,19,8.847,5.37,0.486,-0.56958,292.5,0.00206932,0.000221335,0.10696,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00220308
49,20,8.847,5.37,0.486,-0.56958,307.5,0.00267029,0.000321983,0.12058,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00251254
49,21,8.847,5.37,0.486,-0.56958,322.5,0.00219271,0.000363003,0.16555,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00285479
49,22,8.847,5.37,0.486,-0.56958,337.5,0.00349684,0.000722378,0.20658,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00316995
49,23,8.847,5.37,0.486,-0.56958,352.5,0.00426558,0.00176548,0.41389,-1.87032,1.42664,0.566961,28.2297,1.50772,0,0.909682,0,0.000620763,0.00336594
50,0,8.847,5.38,0.486,-0.65465,7.5,0.000966709,0.000794654,0.82202,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00299656
50,1,8.847,5.38,0.486,-0.65465,22.5,0.00454822,0.00371376,0.81653,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.0027682
50,2,8.847,5.38,0.486,-0.65465,37.5,0.001588,0.000597865,0.37649,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.0024225
50,3,8.847,5.38,0.486,-0.65465,52.5,0.0020446,0.000349912,0.17114,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00207456
50,4,8.847,5.38,0.486,-0.65465,67.5,0.00183417,0.000244422,0.13326,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00178235
50,5,8.847,5.38,0.486,-0.65465,82.5,0.00154357,0.000172324,0.11164,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00155762
50,6,8.847,5.38,0.486,-0.65465,97.5,0.00151146,0.00020113,0.13307,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00139217
50,7,8.847,5.38,0.486,-0.65465,112.5,0.00140718,0.000166863,0.11858,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00127339
50,8,8.847,5.38,0.486,-0.65465,127.5,0.001283,0.000137088,0.10685,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00119011
50,9,8.847,5.38,0.486,-0.65465,142.5,0.0010893,0.000126882,0.11648,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00113402
50,10,8.847,5.38,0.486,-0.65465,157.5,0.00100123,0.00011336,0.11322,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00109946
50,11,8.847,5.38,0.486,-0.65465,172.5,0.00111357,0.000137994,0.12392,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00108299
50,12,8.847,5.38,0.486,-0.65465,187.5,0.00113031,0.000132721,0.11742,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00108299
50,13,8.847,5.38,0.486,-0.65465,202.5,0.00107328,0.000109227,0.10177,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00109946
50,14,8.847,5.38,0.486,-0.65465,217.5,0.00117656,0.000154436,0.13126,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00113402
50,15,8.847,5.38,0.486,-0.65465,232.5,0.00109748,0.000122467,0.11159,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00119011
50,16,8.847,5.38,0.486,-0.65465,247.5,0.00135292,0.000136347,0.10078,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00127339
50,17,8.847,5.38,0.486,-0.65465,262.5,0.00134169,0.000140247,0.10453,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00139217
50,18,8.847,5.38,0.486,-0.65465,277.5,0.00140074,0.000140102,0.10002,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00155762
50,19,8.847,5.38,0.486,-0.65465,292.5,0.00210765,0.000204189,0.09688,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00178235
50,20,8.847,5.38,0.486,-0.65465,307.5,0.00233498,0.000308662,0.13219,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.00207456
50,21,8.847,5.38,0.486,-0.65465,322.5,0.00261215,0.000416612,0.15949,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.0024225
50,22,8.847,5.38,0.486,-0.65465,337.5,0.00201425,0.00129897,0.64489,-1.79697,1.31362,0.4734,24.4166,1.36527,0,0.861117,0,0.000556366,0.0027682
51,0,10.992,7.04,0.494,-0.43254,7.5,0.0021059,0.000143454,0.06812,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00209271
51,1,10.992,7.04,0.494,-0.43254,22.5,0.00201269,0.000133361,0.06626,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00205394
51,2,10.992,7.04,0.494,-0.43254,37.5,0.00191646,0.000123746,0.06457,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00198302
51,3,10.992,7.04,0.494,-0.43254,52.5,0.00195053,0.000126414,0.06481,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00189082
51,4,10.992,7.04,0.494,-0.43254,67.5,0.00181192,0.000120511,0.06651,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00178917
51,5,10.992,7.04,0.494,-0.43254,82.5,0.00184657,0.000122243,0.0662,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00168828
51,6,10.992,7.04,0.494,-0.43254,97.5,0.00159823,0.000105643,0.0661,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00159556
51,7,10.992,7.04,0.494,-0.43254,112.5,0.00154123,0.000106175,0.06889,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.0015156
51,8,10.992,7.04,0.494,-0.43254,127.5,0.00130434,9.2034e-05,0.07056,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00145078
51,9,10.992,7.04,0.494,-0.43254,142.5,0.00139687,9.17048e-05,0.06565,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00140208
51,10,10.992,7.04,0.494,-0.43254,157.5,0.00148587,0.00011098,0.07469,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00136972
51,11,10.992,7.04,0.494,-0.43254,172.5,0.00140711,9.79206e-05,0.06959,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00135359
51,12,10.992,7.04,0.494,-0.43254,187.5,0.00141563,9.92923e-05,0.07014,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00135359
51,13,10.992,7.04,0.494,-0.43254,202.5,0.00124473,8.39198e-05,0.06742,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00136972
51,14,10.992,7.04,0.494,-0.43254,217.5,0.00143064,0.000103378,0.07226,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00140208
51,15,10.992,7.04,0.494,-0.43254,232.5,0.00139716,9.38753e-05,0.06719,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00145078
51,16,10.992,7.04,0.494,-0.43254,247.5,0.00149594,0.000106242,0.07102,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.0015156
51,17,10.992,7.04,0.494,-0.43254,262.5,0.00167215,0.000110195,0.0659,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00159556
51,18,10.992,7.04,0.494,-0.43254,277.5,0.00166123,0.000105986,0.0638,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00168828
51,19,10.992,7.04,0.494,-0.43254,292.5,0.0015182,9.5586e-05,0.06296,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00178917
51,20,10.992,7.04,0.494,-0.43254,307.5,0.0017512,0.000107961,0.06165,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00189082
51,21,10.992,7.04,0.494,-0.43254,322.5,0.00215505,0.00013107,0.06082,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00198302
51,22,10.992,7.04,0.494,-0.43254,337.5,0.00184813,0.000119131,0.06446,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00205394
51,23,10.992,7.04,0.494,-0.43254,352.5,0.00225918,0.00013781,0.061,-1.96287,1.64195,0.756567,36.6018,1.7604,0,0.981532,0,0.000334772,0.00209271
52,0,10.992,7.09,0.498,-0.52556,7.5,0.00179826,0.000211062,0.11737,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00178531
52,1,10.992,7.09,0.498,-0.52556,22.5,0.00202011,0.000208091,0.10301,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00172303
52,2,10.992,7.09,0.498,-0.52556,37.5,0.00145089,0.00012659,0.08725,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00161496
52,3,10.992,7.09,0.498,-0.52556,52.5,0.00138129,0.000106622,0.07719,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.0014848
52,4,10.992,7.09,0.498,-0.52556,67.5,0.00129833,9.52064e-05,0.07333,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00135345
52,5,10.992,7.09,0.498,-0.52556,82.5,0.00126236,8.88451e-05,0.07038,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00123427
52,6,10.992,7.09,0.498,-0.52556,97.5,0.000876286,6.53797e-05,0.07461,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00113352
52,7,10.992,7.09,0.498,-0.52556,112.5,0.00100173,7.45788e-05,0.07445,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00105274
52,8,10.992,7.09,0.498,-0.52556,127.5,0.0010037,8.18715e-05,0.08157,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.000991085
52,9,10.992,7.09,0.498,-0.52556,142.5,0.00102599,8.52901e-05,0.08313,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.000946884
52,10,10.992,7.09,0.498,-0.52556,157.5,0.000810909,6.86029e-05,0.0846,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.000918465
52,11,10.992,7.09,0.498,-0.52556,172.5,0.000801508,6.69259e-05,0.0835,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.000904582
52,12,10.992,7.09,0.498,-0.52556,187.5,0.000943214,7.90979e-05,0.08386,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.000904582
52,13,10.992,7.09,0.498,-0.52556,202.5,0.000957203,7.99456e-05,0.08352,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.000918465
52,14,10.992,7.09,0.498,-0.52556,217.5,0.000998042,8.40851e-05,0.08425,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.000946884
52,15,10.992,7.09,0.498,-0.52556,232.5,0.000970975,8.03967e-05,0.0828,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.000991085
52,16,10.992,7.09,0.498,-0.52556,247.5,0.000980467,7.38193e-05,0.07529,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00105274
52,17,10.992,7.09,0.498,-0.52556,262.5,0.0011248,8.82178e-05,0.07843,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00113352
52,18,10.992,7.09,0.498,-0.52556,277.5,0.00131613,9.617e-05,0.07307,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00123427
52,19,10.992,7.09,0.498,-0.52556,292.5,0.00128363,9.36407e-05,0.07295,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00135345
52,20,10.992,7.09,0.498,-0.52556,307.5,0.00136234,9.73799e-05,0.07148,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.0014848
52,21,10.992,7.09,0.498,-0.52556,322.5,0.00150267,0.000122993,0.08185,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00161496
52,22,10.992,7.09,0.498,-0.52556,337.5,0.00167169,0.000147242,0.08808,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00172303
52,23,10.992,7.09,0.498,-0.52556,352.5,0.00160826,0.000170974,0.10631,-1.87522,1.49094,0.628314,29.6955,1.56945,0,0.920464,0,0.000289541,0.00178531
53,0,10.992,7.12,0.499,-0.61292,7.5,0.00170738,0.000350166,0.20509,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.0015398
53,1,10.992,7.12,0.499,-0.61292,22.5,0.00142071,0.000290251,0.2043,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.00146453
53,2,10.992,7.12,0.499,-0.61292,37.5,0.00153087,0.000272985,0.17832,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.00133988
53,3,10.992,7.12,0.499,-0.61292,52.5,0.00141828,0.000143147,0.10093,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.00119915
53,4,10.992,7.12,0.499,-0.61292,67.5,0.00111389,9.80333e-05,0.08801,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.00106666
53,5,10.992,7.12,0.499,-0.61292,82.5,0.000914545,7.80838e-05,0.08538,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.000954067
53,6,10.992,7.12,0.499,-0.61292,97.5,0.000976914,8.87233e-05,0.09082,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.000864141
53,7,10.992,7.12,0.499,-0.61292,112.5,0.00078542,7.6657e-05,0.0976,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.00079533
53,8,10.992,7.12,0.499,-0.61292,127.5,0.000665935,6.6174e-05,0.09937,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.000744704
53,9,10.992,7.12,0.499,-0.61292,142.5,0.000762305,7.23961e-05,0.09497,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.000709386
53,10,10.992,7.12,0.499,-0.61292,157.5,0.000607351,5.93443e-05,0.09771,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.000687102
53,11,10.992,7.12,0.499,-0.61292,172.5,0.000637061,6.06291e-05,0.09517,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.000676335
53,12,10.992,7.12,0.499,-0.61292,187.5,0.000687445,6.78439e-05,0.09869,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.000676335
53,13,10.992,7.12,0.499,-0.61292,202.5,0.000733568,6.89774e-05,0.09403,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.000687102
53,14,10.992,7.12,0.499,-0.61292,217.5,0.00066328,6.71637e-05,0.10126,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.000709386
53,15,10.992,7.12,0.499,-0.61292,232.5,0.000749418,6.93662e-05,0.09256,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.000744704
53,16,10.992,7.12,0.499,-0.61292,247.5,0.000824733,8.01888e-05,0.09723,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.00079533
53,17,10.992,7.12,0.499,-0.61292,262.5,0.000875827,7.99192e-05,0.09125,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.000864141
53,18,10.992,7.12,0.499,-0.61292,277.5,0.000888524,7.75682e-05,0.0873,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.000954067
53,19,10.992,7.12,0.499,-0.61292,292.5,0.000962266,9.19157e-05,0.09552,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.00106666
53,20,10.992,7.12,0.499,-0.61292,307.5,0.00125188,0.000113232,0.09045,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.00119915
53,21,10.992,7.12,0.499,-0.61292,322.5,0.0016923,0.000235263,0.13902,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.00133988
53,22,10.992,7.12,0.499,-0.61292,337.5,0.00164927,0.000358882,0.2176,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.00146453
53,23,10.992,7.12,0.499,-0.61292,352.5,0.00153216,0.00033542,0.21892,-1.79912,1.36732,0.5265,25.2581,1.41829,0,0.870584,0,0.000256305,0.0015398
54,0,10.992,7.11,0.499,-0.69787,7.5,0.00166635,0.00069765,0.41867,-1.72795,1.26128,0.441495,22.0415,1.28937,0,0.825801,0,0.000232928,0.00133772
54,1,10.992,7.11,0.499,-0.69787,22.5,0.00127723,0.000478513,0.37465,-1.72795,1.26128,0.441495,22.0415,1.28937,0,0.825801,0,0.000232928,0.00125466
54,2,10.992,7.11,0.499,-0.69787,37.5,0.000107464,3.20469e-05,0.29821,-1.72795,1.26128,0.441495,22.0415,1.28937,0,0.825801,0,0.000232928,0.00112328
54,3,10.992,7.11,0.499,-0.69787,52.5,0.00104547,0.000172848,0.16533,-1.72795,1.26128,0.441495,22.0415,1.28937,0,0.825801,0,0.000232928,0.000983561
